review,note
"Shop phục vụ tốt, áo đẹp, hướng dẫn tận tình",0
Giao hàng không đúng mẫu Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém,0
T trả lại bằng cách nào,0
"Túi bé, chất lượng kém",0
Size nhỏ xíu,0
Vay thi OK con ao thi bi Rách buon ghe noi shop thi tra loi qua loa,0
"Có lỗi, áo bị rách một chút ở cầu vai, nhưng áo lại rất đẹp, vậy ok, mong shop chú ý hơn",0
"Âm thanh dở, dây đàn không đều",0
Giày hơi dơ,0
N trách ra nhá,0
"Chỉ có lưu ý nhỏ là hình in bị ra màu, nhưng không sao",0
Dây áo hơi dài,0
Shop lớn mà làm ăn chán,0
Hahaha ko dám nhìn lại cái quần luôn Chất lượng sản phẩm rất kém,0
"Đã từng mua sp này-ren đẹp đường chỉ rất chắc chắn.K giống như của sh.Chỉ là hàng đặt may lại.Cẩu thả, ren đủ các thể loại.sh ns là để phân biệt",0
"Shop k trung thực gửi áo vá hai lỗ bằng hai lá cờ Anh, áo còn ẩm ướt khi đem đi giật lại rồi gửi cho khách",0
Nhưng hàng ok,0
Vải mỏng kiểu tay bo gấu vải xấu,0
Ngoài chợ bán 35k nhưng lại đẹp hơn rất nhiều của shop,0
bóng bị méo,0
Và hẳn đây là tai mèo,0
"áo thì ngắn ,tay áo ống dài ống dài ống ngắn .Chất lượng sản phẩm rất kém",0
Thời gian giao hàng chậm Không đáng tiền,0
Lần trước tưởng shop nhầm nên thôi,0
K giong hinh,0
"Chất cũng ok, nhưng áo bị sút chỉ đoạn cuốn bèo , lúc nhận hàng không để ý",0
"Shop gửi hàng bị nứt, ko phải do bên vận chuyển",0
Nhưng quá rộng. 😂😂😂,0
Bùn shop thật haizz,0
",sau khi chủ shop tư vấn cho khách chọn L.Chốt khách hàng nhận được siz XL😂 Vậy tư vấn để làm gì nhỉ???",0
Hộp khi nhận nhìn lô lắm mn ạ,0
Lên dáng ko đẹp như hình,0
"Ko giống như hình chất vải hoàn toàn khác, thất vọng quá",0
Hàng hơi khác mô tả,0
"Chất k mịn, nhưng ok tạm được",0
Mua 3 kiểu khác nhau cùng sai nhưng có sai to hơn và nhỏ hơn nên k mặc được,0
Lần này mua thất vọng,0
Mùi nước xả vải ko dc thơm,0
Áo giống hình,0
Inbox shop ko trả lời,0
Giao nhầm mẫu:(,0
"Túi nhỏ lắm không dùng đươc cho thùng rác, khác hẳn ao với hình",0
"Thời gian giao hàng chậm, vải ko tốt, mỏng quá",0
Đặt màu trắng nhưng giao màu đen,0
"quần chật bụng quá, chỉ đáng size S, M",0
Quần dài đẹp nhưng dợ bầu to ko mặc được.quần ngố rất mỏng mà còn đắt hơn quần dài,0
Màu vàng hơi tối,0
Ko tốt lắm,0
"Mặc đẹp mà ra màu wa, giặt vài lần ko pít hết ko.. phơi gần cái áo thì áo bị dính màu luôn",0
"Chỉ có điều thích màu đô lại thành màu đen, hơn nữa phai màu quá",0
Hàng ko giống hình,0
Chất lượng thì chưa rõ,0
Máy khá to so vs ảnh,0
Chất vải k đc đẹp là thun pha nilong nhiều k phải nỉ da cá như ảnh,0
"Không giống hình, from rộng mà hơi cộc",0
Áo mỏng nhìn cũng đc nhưng ko giống hình,0
Bề ngang áo chật,0
Hết hàng không thấy báo trước với khách,0
Giao thiếu san phẩm này,0
Chất lượng sản phẩm rất kém,0
Mặc dù đã lấy size s rồi đấy,0
Mình ko bít dùng cái này như nào,0
như xà phòng ko mùi thì đúng hơn,0
sản phẩm chỉ có 5 vs 6 viên thật thôi còn lại là gỗ bình thường,0
Mn nên xem xét trước khi đặt hàng,0
"Chất lượng sản phẩm tốt, nhưng giao hàng lâu quá, đặt màu trắng mà giao màu xanh",0
Không được ưng ý cho lắm,0
Đi 42 toàn rộng mà 42 này chật wa,0
Giá cả hợp lý 👍,0
Giày đẹp,0
"Chất lượng sản phẩm kém .hk đág tiền ,mọi ng nên cân nhắc trc khi mua ,áo chất liệu như hàg 35k ngoài chợ đêm, mới đầu phục vụ tốt nhiệt tìh, sau khi mìh đáh giá 2* shop lại qay lại trách móc ng mua, thái độ hk xem trọg ng mua, e ns v thôi ms ng tin hay hk thì tì, lần đầu tiên e bức xúc đến như v",0
Cũg tạm đc... nhưg như hình ảnh có túi mà nhận đc hàg thì k có... lấy màu trắng và đỏ nhưg 2 chất vải khác nhau hoàn toàn .. mog shop đăng ảnh như nào thì sp cug giống ảnh,0
Hàng bt ko đẹp lắm ..,0
Giao quần k đúng màu,0
Tay bó quá.K rộng như hình,0
Shop bảo vải len nhưng nhận lại k phải,0
K quay lại lần 2,0
Bảo cho hai áo đỏ thì shop mang cho hai áo trắng...,0
Ko hài lòng,0
Dưới là 1 số hình ảnh mình chat với shop !!,0
Đường may xấu,0
Shop có nói tặng pin mà ko có,0
Với 99k thì là một sản phẩm vừa giá vừa dùng nhưng với 200k thì chất lượng có lễ không tốt rồi,0
Sạc dự phòng hộp đã cũ và bị bóc tem từ lâu !!,0
Rep hời hợt,0
GIAO THIEU 2 BO DO,0
Có mùi vải rất hôi,0
"Khi mặc mình thấy đáy quần cứ lệch qua 1 bên, rất khó chịu",0
Nhưng phần cổ may chỉ đen trông hơi điêu,0
Sau đó không chuyển đợi quá 3 ngày KHÔNG THỂ khiếu nại trên Shopee đc nữa,0
Áo nhỏ hơn hình rất nhiều :((,0
mẹ kiép bán hang kiêu lua đảo lút nguồn hỏng mẹ no duaday nguồn thi hok cam đk ổ nao vua thêm cái day vga cung hong đm bán hàng có tâm vl Chất lượng sản phẩm tuyệt vời,0
Ko đc sao nào hết,0
Ai không thích vải mỏng không nên mua,0
Đeo rất dễ tuột,0
Vừa thử vào đã rách đáy,0
Shop nên để lưu ý để khách biết chừng mua,0
"Bình thường mình mặc size 34 vừa, nhưng form áo này hơi nhỏ thì phải",0
