review,note
team 2019merimera alikuwa takataka,0
sijafurahishwa,0
kubuni dosari,0
bila kusema nilipoteza pesa zangu,0
sema kupoteza pesa na wakati,0
ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,0
akili yako imeoza,0
aki si maisha ni magumu,0
enyewe safaricom ni wezi,0
mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,0
mtandao wenu wa 4g ni mbaya sana siku hizi tafadhali rekebisheni,0
safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,0
hauna haki,0
nyinyi mimi nilinunua laini yenu miaka 20 iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,0
siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,0
ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,0
muziki mdogo sana au kitu chochote cha kuzungumzia,0
bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,0
nimepoteza masaa mawili,0
inaweza kutabirika kidogo,0
sikuipenda mimi,0
mimi sipenda ujinga,0
ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,0
picha ni mbali na sehemu bora ya mchezo,0
leo picha ni ujinga,0
hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,0
sikuvutiwa hata kidogo,0
haisisimui hata kidogo,0
lakini hata carrell mwenye talanta hawezi kuokoa hii,0
hadithi yenyewe ni ya kutabirika tu na ya uvivu,0
lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,0
kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,0
muda mrefu mwepesi na hauna maana,0
lakini napendekeza subiri juhudi zao za baadaye acha hii iende,0
nilikatishwa tamaa katika sinema,0
hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,0
sinema hii inaoga kabisa kwenye mishipa yangu,0
na kwa uaminifu kabisa mara nyingi sio nzuri sana,0
mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,0
nisingesema wanafaa masaa 2 ya wakati wako ingawa,0
shida ilikuwa maandishi,0
ilikuwa ya kutisha,0
tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,0
hakuna kitu cha kuaminika juu yake kabisa,0
kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,0
kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,0
inasikitisha sana,0
